case_id,activity,resource,timestamp,duration,weekday,hour,next_activity,risk
Case-001,Prospecção,Sales-01,2024-01-01 09:00:00,2.5,0,9,Qualificação,0
Case-001,Qualificação,Sales-01,2024-01-01 11:30:00,1.8,0,11,Negociação,0
Case-001,Negociação,Sales-01,2024-01-02 14:00:00,3.2,1,14,Proposta,0
Case-001,Proposta,Sales-01,2024-01-03 10:00:00,2.0,2,10,Fechamento,0
Case-002,Prospecção,Sales-02,2024-01-01 10:00:00,2.0,0,10,Qualificação,0
Case-002,Qualificação,Sales-02,2024-01-01 13:00:00,1.5,0,13,Negociação,0
Case-002,Negociação,Sales-02,2024-01-02 09:30:00,4.0,1,9,Proposta,1
Case-002,Proposta,Sales-02,2024-01-03 11:00:00,2.5,2,11,Rejeição,1
Case-003,Prospecção,Sales-03,2024-01-01 11:00:00,2.8,0,11,Qualificação,0
Case-003,Qualificação,Sales-03,2024-01-01 14:30:00,1.2,0,14,Negociação,0
Case-003,Negociação,Sales-03,2024-01-02 10:00:00,3.5,1,10,Proposta,0
Case-003,Proposta,Sales-03,2024-01-03 13:00:00,2.8,2,13,Fechamento,0
Case-004,Prospecção,Sales-01,2024-01-02 09:00:00,2.2,1,9,Qualificação,0
Case-004,Qualificação,Sales-01,2024-01-02 11:30:00,1.5,1,11,Negociação,0
Case-004,Negociação,Sales-01,2024-01-03 14:00:00,3.8,2,14,Proposta,1
Case-004,Proposta,Sales-01,2024-01-04 10:00:00,2.5,3,10,Fechamento,0
Case-005,Prospecção,Sales-02,2024-01-02 10:00:00,2.5,1,10,Qualificação,0
Case-005,Qualificação,Sales-02,2024-01-02 13:00:00,1.8,1,13,Negociação,0
Case-005,Negociação,Sales-02,2024-01-03 09:30:00,3.5,2,9,Proposta,0
Case-005,Proposta,Sales-02,2024-01-04 11:00:00,2.8,3,11,Rejeição,1
Case-006,Prospecção,Sales-03,2024-01-02 11:00:00,2.8,1,11,Qualificação,0
Case-006,Qualificação,Sales-03,2024-01-02 14:30:00,1.2,1,14,Negociação,0
Case-006,Negociação,Sales-03,2024-01-03 10:00:00,3.2,2,10,Proposta,0
Case-006,Proposta,Sales-03,2024-01-04 13:00:00,2.5,3,13,Fechamento,0
Case-007,Prospecção,Sales-01,2024-01-03 09:00:00,2.0,2,9,Qualificação,0
Case-007,Qualificação,Sales-01,2024-01-03 11:30:00,1.5,2,11,Negociação,0
Case-007,Negociação,Sales-01,2024-01-04 14:00:00,3.8,3,14,Proposta,1
Case-007,Proposta,Sales-01,2024-01-05 10:00:00,2.8,4,10,Fechamento,0
Case-008,Prospecção,Sales-02,2024-01-03 10:00:00,2.5,2,10,Qualificação,0
Case-008,Qualificação,Sales-02,2024-01-03 13:00:00,1.8,2,13,Negociação,0
Case-008,Negociação,Sales-02,2024-01-04 09:30:00,3.5,3,9,Proposta,0
Case-008,Proposta,Sales-02,2024-01-05 11:00:00,2.5,4,11,Rejeição,1
Case-009,Prospecção,Sales-03,2024-01-03 11:00:00,2.8,2,11,Qualificação,0
Case-009,Qualificação,Sales-03,2024-01-03 14:30:00,1.2,2,14,Negociação,0
Case-009,Negociação,Sales-03,2024-01-04 10:00:00,3.2,3,10,Proposta,0
Case-009,Proposta,Sales-03,2024-01-05 13:00:00,2.8,4,13,Fechamento,0
Case-010,Prospecção,Sales-01,2024-01-04 09:00:00,2.2,3,9,Qualificação,0
Case-010,Qualificação,Sales-01,2024-01-04 11:30:00,1.5,3,11,Negociação,0
Case-010,Negociação,Sales-01,2024-01-05 14:00:00,3.8,4,14,Proposta,1
Case-010,Proposta,Sales-01,2024-01-06 10:00:00,2.5,5,10,Fechamento,0 
